user_id,title,description,status,image,categories
1,Apprendre Laravel 12,Maîtriser les nouveautés,in_progress,goal_placeholder.png,"Développement Web, Design UI/UX"
1,Créer un Portfolio,Utiliser Tailwind CSS,todo,goal_placeholder.png,"Développement Web, Finance"
1,Marathon 2026,Entraînement 10km,in_progress,goal_placeholder.png,"Sport & Santé, Finance"
1,Apprendre Vue.js 3,Composition API et Pinia,todo,goal_placeholder.png,"Développement Web"
1,Lire 20 Livres,Romans et Développement Personnel,in_progress,goal_placeholder.png,"Culture"
1,Voyage au Japon,Préparer l'itinéraire et le budget,todo,goal_placeholder.png,"Voyage, Finance"
1,Maîtriser Docker,Conteneurisation d'applications,completed,goal_placeholder.png,"Développement Web, DevOps"
1,Investir en Bourse,Apprendre les bases des ETF,in_progress,goal_placeholder.png,"Finance"
1,Courir un Semi-Marathon,Objectif moins de 2h,todo,goal_placeholder.png,"Sport & Santé"
1,Apprendre l'Espagnol,Niveau conversationnel,in_progress,goal_placeholder.png,"Culture"
1,Refaire la Déco du Salon,Style minimaliste,todo,goal_placeholder.png,"Maison"
1,Créer un Blog Tech,Partager mes connaissances,completed,goal_placeholder.png,"Développement Web, Rédaction"
1,Apprendre le Piano,Morceaux classiques débutant,in_progress,goal_placeholder.png,"Musique, Culture"
1,Manger plus sainement,Plus de légumes et fruits,in_progress,goal_placeholder.png,"Sport & Santé"
1,Économiser pour une Maison,Apport personnel,in_progress,goal_placeholder.png,"Finance, Maison"
1,Suivre une formation UX,Certificat Google UX,todo,goal_placeholder.png,"Design UI/UX"
1,Monter un Serveur NAS,Sauvegarde et Média,completed,goal_placeholder.png,"Tech, Maison"
1,Apprendre React Native,Apps mobiles cross-platform,todo,goal_placeholder.png,"Développement Web, Mobile"
1,Ecrire un Livre,Roman de science-fiction,todo,goal_placeholder.png,"Culture, Rédaction"
1,Faire du Yoga,Séance quotidienne de 20min,in_progress,goal_placeholder.png,"Sport & Santé"
1,Apprendre Rust,Pour le système embarqué,todo,goal_placeholder.png,"Développement Web, Tech"
1,Visiter l'Italie,Roadtrip en Toscane,todo,goal_placeholder.png,"Voyage"
1,Construire un PC Gamer,Config haut de gamme,completed,goal_placeholder.png,"Tech, Gaming"
1,Apprendre la Photo,Maîtriser le mode manuel,in_progress,goal_placeholder.png,"Art, Culture"
